party_identification,political_viewpoint,marital_status,sex,cohort
Strong Democrat,Slightly Liberal,Widowed,Female,Gen X
Other Party,Extremely Conservative,Widowed,Female,Gen X
Not Very Strong Democrat,Moderate,Separated,Male,Gen Z
"Independent, Close to Republican",Slightly Conservative,Divorced,Male,Gen X
Strong Democrat,Extremely Conservative,Separated,Female,Gen X
"Independent, Close to Republican",Moderate,Divorced,Female,Gen Z
Strong Republican,Moderate,Divorced,Female,Gen Z
"Independent, Close to Republican",Extremely Liberal,Divorced,Male,Gen Z
Not Very Strong Democrat,Moderate,Married,Female,Post-War
Independent (Neither),Extremely Conservative,Married,Male,Millenial
"Independent, Close to Democrat",Liberal,Divorced,Male,Millenial
"Independent, Close to Democrat",Conservative,Separated,Male,Millenial
Strong Democrat,Slightly Liberal,Married,Female,Millenial
"Independent, Close to Democrat",Moderate,Separated,Female,Gen X
Strong Republican,Conservative,Widowed,Female,Gen X
"Independent, Close to Democrat",Conservative,Widowed,Female,Post-War
Strong Republican,Extremely Liberal,Never Married,Female,Gen Z
"Independent, Close to Democrat",Slightly Liberal,Separated,Female,Boomer
Not Very Strong Democrat,Extremely Liberal,Separated,Female,Post-War
"Independent, Close to Republican",Extremely Conservative,Divorced,Male,Gen X
Not Very Strong Democrat,Extremely Conservative,Divorced,Male,Gen X
Independent (Neither),Moderate,Divorced,Male,Gen Z
"Independent, Close to Republican",Extremely Liberal,Widowed,Male,Gen X
Independent (Neither),Moderate,Widowed,Female,Millenial
Other Party,Slightly Liberal,Widowed,Female,Gen Z
Other Party,Extremely Conservative,Separated,Male,Gen X
Not Very Strong Democrat,Slightly Liberal,Separated,Male,Post-War
"Independent, Close to Republican",Conservative,Married,Female,Gen X
Not Very Strong Democrat,Extremely Conservative,Never Married,Female,Post-War
Strong Democrat,Conservative,Separated,Female,Millenial
Strong Democrat,Moderate,Married,Female,Gen X
Independent (Neither),Extremely Liberal,Divorced,Male,Gen X
Strong Republican,Extremely Liberal,Widowed,Female,Gen X
Not Very Strong Republican,Slightly Liberal,Widowed,Female,Post-War
"Independent, Close to Republican",Conservative,Married,Female,Boomer
"Independent, Close to Democrat",Extremely Liberal,Widowed,Female,Millenial
"Independent, Close to Democrat",Conservative,Separated,Male,Post-War
Not Very Strong Democrat,Extremely Liberal,Never Married,Male,Millenial
Strong Republican,Conservative,Divorced,Female,Millenial
Strong Democrat,Extremely Conservative,Divorced,Female,Post-War
"Independent, Close to Democrat",Conservative,Married,Male,Boomer
Other Party,Liberal,Widowed,Male,Boomer
Not Very Strong Democrat,Conservative,Widowed,Female,Millenial
Other Party,Extremely Conservative,Widowed,Male,Post-War
Not Very Strong Republican,Extremely Liberal,Separated,Female,Millenial
Strong Democrat,Slightly Liberal,Never Married,Male,Gen X
Other Party,Extremely Liberal,Never Married,Female,Gen X
Not Very Strong Republican,Conservative,Never Married,Male,Millenial
Strong Democrat,Slightly Conservative,Separated,Male,Millenial
